"objectid","beeld","band","npixels","mean","sd","median","max","min","q05","q10","q90","q95"
"1576558","lc8x_l1tp_2016090_1548_2017086_xxxx_tct","2","29","11146","65.3200909806032","11155","11251","10971","11030.4","11065.8","11213.4","11216.8"
"1576558","lc8x_l1tp_2016090_1548_2017086_xxxx_tct","3","29","14048.9655172414","220.506151964491","14001","14583","13706","13731.2","13769.6","14337.4","14363.6"
"1576558","lc8x_l1tp_2016099_2355_2017085_xxxx_tct","1","31","11919.7096774194","324.403883407539","11938","12604","11243","11409","11478","12280","12364.5"
"1576558","lc8x_l1tp_2016099_2355_2017085_xxxx_tct","2","31","11848.0322580645","116.436387173703","11881","12005","11597","11650.5","11697","11989","11996.5"
"1576558","lc8x_l1tp_2016099_2355_2017085_xxxx_tct","3","31","10626.3870967742","221.359387636088","10560","11185","10345","10404","10412","10886","11099.5"
"1576558","lc8x_l1tp_2016115_0506_2017085_xxxx_tct","1","31","23882.6129032258","648.704692826115","24004","24998","21808","22892","23288","24650","24706.5"
"1576558","lc8x_l1tp_2016115_0506_2017085_xxxx_tct","2","31","15571.4838709677","191.281968302947","15520","15952","15255","15326.5","15352","15889","15911"
"1576558","lc8x_l1tp_2016115_0506_2017085_xxxx_tct","3","31","15700.1935483871","517.578813280634","15810","16246","13883","14659.5","15165","16186","16193.5"
"1576558","lc8x_l1tp_2016122_2311_2017084_xxxx_tct","1","29","14190.2413793103","447.718075768064","14184","15347","13522","13550.4","13672.6","14655","14770.2"
"1576558","lc8x_l1tp_2016122_2311_2017084_xxxx_tct","2","29","13031.5172413793","896.530838474046","12838","14397","11824","11834.6","11862.6","14248","14352.2"
"1576558","lc8x_l1tp_2016122_2311_2017084_xxxx_tct","3","29","9755.62068965517","307.13822083796","9802","10298","9249","9272.8","9309.8","10078.4","10103.2"
"1576558","lc8x_l1tp_2016218_1339_2017081_xxxx_tct","1","29","17961.6896551724","2991.97605633382","18919","22016","13739","13973.4","14034.2","21343.2","21739.6"
"1576558","lc8x_l1tp_2016218_1339_2017081_xxxx_tct","2","29","13639.5172413793","630.023730884665","13921","14264","12279","12566.4","12720.2","14233.6","14243.6"
"1576558","lc8x_l1tp_2016218_1339_2017081_xxxx_tct","3","29","10978.4137931034","884.689352954769","11018","12536","9517","9752.2","9849.2","12205.4","12352.6"
"1576558","lc8x_l1tp_2016227_0826_2017081_xxxx_tct","1","31","25642.2580645161","1653.5281263154","25571","28498","22993","23188.5","23690","27972","28324.5"
"1576558","lc8x_l1tp_2016227_0826_2017081_xxxx_tct","2","31","15830.064516129","270.09392631501","15883","16296","15160","15400.5","15528","16113","16188"
"1576558","lc8x_l1tp_2016227_0826_2017081_xxxx_tct","3","31","14659.7096774194","456.942898952622","14622","15575","13874","14100","14135","15195","15552.5"
"1576558","lc8x_l1tp_2016243_2124_2017080_xxxx_tct","1","31","14056.7096774194","645.452357836393","14293","14664","12637","12813","13011","14635","14658"
"1576558","lc8x_l1tp_2016243_2124_2017080_xxxx_tct","2","31","12645.6451612903","624.003661762071","12628","13825","11481","11736.5","11796","13487","13752"
"1576558","lc8x_l1tp_2016243_2124_2017080_xxxx_tct","3","31","10011.4193548387","479.177821843036","10013","10987","9267","9322.5","9444","10709","10827"
"1576558","lc8x_l1tp_2016250_1634_2017080_xxxx_tct","1","29","19137","1801.21732646087","19019","22627","15818","16648","17092","21994.4","22276.2"
