"objectid","beeld","band","npixels","mean","sd","median","max","min","q05","q10","q90","q95"
1578117,"lc8x_l1tp_2015352_2042_2017090_xxxx_tct",1,250,14696.436,286.356221245118,14705,15232,13042,14324.4,14455.3,15027.3,15116.45
1578117,"lc8x_l1tp_2015352_2042_2017090_xxxx_tct",2,250,11961.424,43.3044260701961,11952,12071,11824,11902.8,11915.8,12028,12035.1
1578117,"lc8x_l1tp_2015352_2042_2017090_xxxx_tct",3,250,9559.924,251.895748468261,9547,10867,9107,9224.35,9269.8,9778.1,9858.45
1578117,"lc8x_l1tp_2016042_0238_2017089_xxxx_tct",1,242,13484,714.823252390181,13374.5,15012,12439,12562.25,12624.3,14635.2,14799.5
1578117,"lc8x_l1tp_2016042_0238_2017089_xxxx_tct",2,242,11232.4008264463,83.0485065437554,11200,11566,11141,11152.05,11156,11331.3,11397.55
1578117,"lc8x_l1tp_2016042_0238_2017089_xxxx_tct",3,242,10089.3966942149,405.782804347817,10129,10711,9177,9351.15,9452.1,10589,10636.75
1578117,"lc8x_l1tp_2016058_1323_2017088_xxxx_tct",1,242,14163.8388429752,238.009908741709,14207,14574,13422,13758.35,13818.2,14440.3,14482.9
1578117,"lc8x_l1tp_2016058_1323_2017088_xxxx_tct",2,242,11609.6033057851,119.989140541749,11631,11839,11239,11410.05,11441.1,11756,11782.65
1578117,"lc8x_l1tp_2016058_1323_2017088_xxxx_tct",3,242,9597.54132231405,181.673206299225,9571,10265,9263,9349.05,9383,9848.6,9908.7
1578117,"lc8x_l1tp_2016067_0918_2017087_xxxx_tct",1,249,15221.2931726908,2506.76816869978,14763,24531,11637,12275.8,12598.6,18296.4,21751
1578117,"lc8x_l1tp_2016067_0918_2017087_xxxx_tct",2,249,12332.1325301205,366.958579815798,12316,13717,11545,11732,11776.8,12672.4,13068
1578117,"lc8x_l1tp_2016067_0918_2017087_xxxx_tct",3,249,10186.2048192771,1423.16076913868,9675,15324,8820,8961.6,9086.8,11870.4,13853.2
1578117,"lc8x_l1tp_2016074_1233_2017108_xxxx_tct",1,242,14297.194214876,131.771836504824,14320,14590,13673,14078.9,14114.2,14450.9,14492.85
1578117,"lc8x_l1tp_2016074_1233_2017108_xxxx_tct",2,242,12308.9297520661,239.62127626862,12376.5,12715,11419,11929.1,11979.2,12595.9,12626.95
1578117,"lc8x_l1tp_2016074_1233_2017108_xxxx_tct",3,242,9720.0826446281,151.408605289239,9681,10417,9480,9520.15,9547.3,9921.7,9953.6
1578117,"lc8x_l1tp_2016090_1548_2017086_xxxx_tct",1,242,13849.3181818182,211.358503525286,13856,14228,12972,13522,13566.4,14110.8,14143.9
1578117,"lc8x_l1tp_2016090_1548_2017086_xxxx_tct",2,242,11873.7148760331,202.167747267082,11853,12198,11084,11597.05,11633.1,12134.7,12155.85
1578117,"lc8x_l1tp_2016090_1548_2017086_xxxx_tct",3,242,9778.56611570248,158.821612947377,9780.5,10456,9522,9565,9584.4,9977,10011.7
1578117,"lc8x_l1tp_2016099_2355_2017085_xxxx_tct",1,249,24682.8393574297,1996.4711363512,24968,30234,19922,20706.2,21560.4,27058.6,27523.4
1578117,"lc8x_l1tp_2016099_2355_2017085_xxxx_tct",2,249,16970.4297188755,1667.03972346105,17057,20667,13752,14102.6,14416.4,19190.4,19789.2
1578117,"lc8x_l1tp_2016099_2355_2017085_xxxx_tct",3,249,16890.9598393574,1527.77910390086,17291,19959,13340,13673.8,14238.4,18588,19069.4
1578117,"lc8x_l1tp_2016115_0506_2017085_xxxx_tct",1,249,14184.3614457831,287.500781695147,14186,14779,12698,13743,13958.8,14487.4,14588.4
1578117,"lc8x_l1tp_2016115_0506_2017085_xxxx_tct",2,249,13824.2208835341,420.801303828844,13785,14598,12043,13191.2,13363.8,14397,14459.8
1578117,"lc8x_l1tp_2016115_0506_2017085_xxxx_tct",3,249,9228.81526104418,260.378210509437,9262,10412,8743,8857.8,8887.6,9481.6,9618.4
1578117,"lc8x_l1tp_2016122_2311_2017084_xxxx_tct",1,242,13971.3429752066,235.779210781516,13908.5,14604,13078,13713.65,13751.3,14308.8,14385.35
1578117,"lc8x_l1tp_2016122_2311_2017084_xxxx_tct",2,242,13573.2066115702,446.863544803051,13526.5,14305,11497,12964.2,13120.9,14148.8,14203.5
1578117,"lc8x_l1tp_2016122_2311_2017084_xxxx_tct",3,242,9694.02892561983,158.147454665253,9714.5,10496,9398,9469.2,9493.2,9848.9,9877
1578117,"lc8x_l1tp_2016218_1339_2017081_xxxx_tct",1,242,17057.1363636364,1894.12179422795,16967.5,21520,12229,13873.5,14833.2,19617.7,20440.75
1578117,"lc8x_l1tp_2016218_1339_2017081_xxxx_tct",2,242,13762.0950413223,651.755557154953,13743,15495,12050,12589.4,12916.3,14591,14903.95
1578117,"lc8x_l1tp_2016218_1339_2017081_xxxx_tct",3,242,11644.5826446281,1353.19936987692,11708.5,14579,8488,9211.1,9903.3,13401.6,14121.95
1578117,"lc8x_l1tp_2016227_0826_2017081_xxxx_tct",1,250,13999.448,1300.80769444515,13597.5,24458,13033,13221.45,13264.9,14835.9,16156.9
1578117,"lc8x_l1tp_2016227_0826_2017081_xxxx_tct",2,250,13013.372,415.229865231199,12917.5,16813,12598,12698.9,12731.9,13355.2,13524.1
1578117,"lc8x_l1tp_2016227_0826_2017081_xxxx_tct",3,250,11324.876,608.25380837741,11169,16144,10815,10902,10920.3,11791.3,12266.55
1578117,"lc8x_l1tp_2016243_2124_2017080_xxxx_tct",1,250,14163.308,234.240285136274,14162.5,14993,12710,13874.25,13933.7,14419.1,14484.4
