"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel","mutlike"
1,1,0,0,1.5,2015,3,"max90",73,1578117,1.5
4,1,0,0,1.5,2015,3,"max90",73,1584957,1.5
0,0,0,0,0.5,2015,3,"max90",67,1590448,0
1,1,1,1,2.5,2015,3,"max90",74,1591636,2.5
2,1,0,0,1.5,2015,3,"max90",73,1750897,1.5
0,0,0,0,0.5,2015,3,"max90",75,1787658,0
1,1,1,1,2.5,2015,3,"max90",72,1788190,2.5
1,1,1,0,2,2015,3,"max90",72,1793705,2
2,1,1,0,2,2015,3,"max90",72,1800413,2
1,1,0,0,1.5,2016,1,"max90",16,865447,1.5
1,1,1,1,2.5,2016,1,"max90",23,876304,2.5
2,1,1,1,2.5,2016,1,"max90",68,877219,2.5
0,0,0,0,0.5,2016,1,"max90",21,879606,0
3,2,2,2,2.5,2016,1,"max90",71,1576558,5
3,3,3,2,2.5,2016,1,"max90",73,1578117,7.5
1,1,1,1,2.5,2016,1,"max90",73,1584957,2.5
2,2,2,2,2.5,2016,1,"max90",67,1590448,5
3,3,2,2,2.5,2016,1,"max90",74,1591636,7.5
1,1,1,1,2.5,2016,1,"max90",73,1750897,2.5
1,1,1,1,2.5,2016,1,"max90",75,1787658,2.5
1,1,1,1,2.5,2016,1,"max90",72,1788190,2.5
5,4,4,1,2.5,2016,1,"max90",72,1793705,10
2,1,1,1,2.5,2016,1,"max90",72,1800413,2.5
1,1,0,0,1.5,2016,2,"max90",16,865447,1.5
0,0,0,0,0.5,2016,2,"max90",23,876304,0
2,2,2,1,2.5,2016,2,"max90",68,877219,5
0,0,0,0,0.5,2016,2,"max90",21,879606,0
1,1,1,1,2.5,2016,2,"max90",71,1576558,2.5
3,2,2,2,2.5,2016,2,"max90",73,1578117,5
3,2,1,1,2.5,2016,2,"max90",73,1584957,5
2,1,1,0,2,2016,2,"max90",67,1590448,2
2,1,1,1,2.5,2016,2,"max90",74,1591636,2.5
3,1,0,0,1.5,2016,2,"max90",73,1750897,1.5
1,1,1,1,2.5,2016,2,"max90",75,1787658,2.5
3,1,1,0,2,2016,2,"max90",72,1788190,2
6,3,2,2,2.5,2016,2,"max90",72,1793705,7.5
2,2,0,0,1.5,2016,2,"max90",72,1800413,3
1,0,0,0,1,2016,3,"max90",16,865447,0
1,1,0,0,1.5,2016,3,"max90",23,876304,1.5
0,0,0,0,0.5,2016,3,"max90",68,877219,0
2,2,1,0,2,2016,3,"max90",21,879606,4
3,1,1,0,2,2016,3,"max90",71,1576558,2
2,2,2,2,2.5,2016,3,"max90",73,1578117,5
3,1,0,0,1.5,2016,3,"max90",73,1584957,1.5
3,3,2,2,2.5,2016,3,"max90",67,1590448,7.5
0,0,0,0,0.5,2016,3,"max90",74,1591636,0
3,2,1,1,2.5,2016,3,"max90",73,1750897,5
0,0,0,0,0.5,2016,3,"max90",75,1787658,0
1,1,0,0,1.5,2016,3,"max90",72,1788190,1.5
2,1,1,1,2.5,2016,3,"max90",72,1793705,2.5
1,0,0,0,1,2016,3,"max90",72,1800413,0
1,0,0,0,1,2017,1,"max90",16,865447,0
1,0,0,0,1,2017,1,"max90",9,876228,0
1,1,0,0,1.5,2017,1,"max90",9,876229,1.5
0,0,0,0,0.5,2017,1,"max90",23,876304,0
0,0,0,0,0.5,2017,1,"max90",68,877219,0
0,0,0,0,0.5,2017,1,"max90",9,877724,0
1,1,1,1,2.5,2017,1,"max90",21,879606,2.5
0,0,0,0,0.5,2017,1,"max90",6,879844,0
0,0,0,0,0.5,2017,1,"max90",71,1576558,0
0,0,0,0,0.5,2017,1,"max90",73,1578117,0
1,0,0,0,1,2017,1,"max90",73,1584957,0
0,0,0,0,0.5,2017,1,"max90",67,1590448,0
1,0,0,0,1,2017,1,"max90",74,1591636,0
0,0,0,0,0.5,2017,1,"max90",73,1750897,0
0,0,0,0,0.5,2017,1,"max90",75,1787658,0
0,0,0,0,0.5,2017,1,"max90",72,1788190,0
0,0,0,0,0.5,2017,1,"max90",72,1793705,0
0,0,0,0,0.5,2017,1,"max90",72,1800413,0
0,0,0,0,0.5,2017,2,"max90",16,865447,0
1,1,0,0,1.5,2017,2,"max90",9,876228,1.5
1,1,0,0,1.5,2017,2,"max90",9,876229,1.5
2,2,1,0,2,2017,2,"max90",23,876304,4
1,1,0,0,1.5,2017,2,"max90",68,877219,1.5
0,0,0,0,0.5,2017,2,"max90",9,877724,0
3,1,0,0,1.5,2017,2,"max90",21,879606,1.5
1,0,0,0,1,2017,2,"max90",6,879844,0
4,3,2,1,2.5,2017,2,"max90",71,1576558,7.5
0,0,0,0,0.5,2017,2,"max90",73,1578117,0
1,1,1,1,2.5,2017,2,"max90",73,1584957,2.5
2,1,1,1,2.5,2017,2,"max90",67,1590448,2.5
4,2,1,0,2,2017,2,"max90",74,1591636,4
1,1,1,1,2.5,2017,2,"max90",73,1750897,2.5
3,2,2,1,2.5,2017,2,"max90",75,1787658,5
5,1,1,1,2.5,2017,2,"max90",72,1788190,2.5
0,0,0,0,0.5,2017,2,"max90",72,1793705,0
6,1,0,0,1.5,2017,2,"max90",72,1800413,1.5
1,1,1,0,2,2017,3,"max90",16,865447,2
1,1,0,0,1.5,2017,3,"max90",9,876228,1.5
1,0,0,0,1,2017,3,"max90",9,876229,0
0,0,0,0,0.5,2017,3,"max90",23,876304,0
0,0,0,0,0.5,2017,3,"max90",68,877219,0
1,1,0,0,1.5,2017,3,"max90",9,877724,1.5
0,0,0,0,0.5,2017,3,"max90",21,879606,0
1,0,0,0,1,2017,3,"max90",6,879844,0
2,2,2,0,2,2017,3,"max90",71,1576558,4
0,0,0,0,0.5,2017,3,"max90",73,1578117,0
1,1,0,0,1.5,2017,3,"max90",73,1584957,1.5
1,1,1,0,2,2017,3,"max90",67,1590448,2
1,1,1,1,2.5,2017,3,"max90",74,1591636,2.5
2,1,1,1,2.5,2017,3,"max90",73,1750897,2.5
2,2,2,2,2.5,2017,3,"max90",75,1787658,5
1,1,1,1,2.5,2017,3,"max90",72,1788190,2.5
2,0,0,0,1,2017,3,"max90",72,1793705,0
2,2,0,0,1.5,2017,3,"max90",72,1800413,3
1,0,0,0,1,2015,1,"min10",68,877219,0
0,0,0,0,0.5,2015,1,"min10",71,1576558,0
1,0,0,0,1,2015,1,"min10",73,1578117,0
0,0,0,0,0.5,2015,1,"min10",73,1584957,0
0,0,0,0,0.5,2015,1,"min10",67,1590448,0
0,0,0,0,0.5,2015,1,"min10",74,1591636,0
2,1,1,0,2,2015,1,"min10",73,1750897,2
0,0,0,0,0.5,2015,1,"min10",75,1787658,0
1,1,1,1,2.5,2015,1,"min10",72,1788190,2.5
0,0,0,0,0.5,2015,1,"min10",72,1793705,0
1,0,0,0,1,2015,1,"min10",72,1800413,0
1,1,1,0,2,2015,2,"min10",68,877219,2
0,0,0,0,0.5,2015,2,"min10",71,1576558,0
0,0,0,0,0.5,2015,2,"min10",73,1578117,0
2,2,1,1,2.5,2015,2,"min10",73,1584957,5
0,0,0,0,0.5,2015,2,"min10",67,1590448,0
0,0,0,0,0.5,2015,2,"min10",74,1591636,0
0,0,0,0,0.5,2015,2,"min10",73,1750897,0
1,1,0,0,1.5,2015,2,"min10",75,1787658,1.5
0,0,0,0,0.5,2015,2,"min10",72,1788190,0
2,0,0,0,1,2015,2,"min10",72,1793705,0
1,0,0,0,1,2015,2,"min10",72,1800413,0
2,2,1,1,2.5,2015,3,"min10",68,877219,5
0,0,0,0,0.5,2015,3,"min10",71,1576558,0
2,2,0,0,1.5,2015,3,"min10",73,1578117,3
0,0,0,0,0.5,2015,3,"min10",73,1584957,0
2,0,0,0,1,2015,3,"min10",67,1590448,0
1,1,1,0,2,2015,3,"min10",74,1591636,2
1,0,0,0,1,2015,3,"min10",73,1750897,0
0,0,0,0,0.5,2015,3,"min10",75,1787658,0
1,1,0,0,1.5,2015,3,"min10",72,1788190,1.5
2,1,0,0,1.5,2015,3,"min10",72,1793705,1.5
0,0,0,0,0.5,2015,3,"min10",72,1800413,0
1,1,1,1,2.5,2016,1,"min10",16,865447,2.5
1,1,1,1,2.5,2016,1,"min10",23,876304,2.5
4,1,0,0,1.5,2016,1,"min10",68,877219,1.5
1,1,1,1,2.5,2016,1,"min10",21,879606,2.5
3,2,2,0,2,2016,1,"min10",71,1576558,4
1,1,1,1,2.5,2016,1,"min10",73,1578117,2.5
1,1,0,0,1.5,2016,1,"min10",73,1584957,1.5
